time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,subjects,KS2_Prior,num_U,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_X,All_Grades,perc_U,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Mathematics,117 - 120,1,0,0,0,11,35,149,497,1232,3343,1,5269,0,0,0,0,0.2,0.7,2.8,9.4,23.4,63.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,Less than 80,4,15,27,28,22,7,3,1,0,0,0,107,3.7,14,25.2,26.2,20.6,6.5,2.8,0.9,0,0
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,80 - 89.5,26,76,128,209,153,49,20,7,0,0,3,671,3.9,11.4,19.2,31.3,22.9,7.3,3,1,0,0
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,90 - 95.5,35,132,287,558,640,429,233,72,24,8,4,2422,1.4,5.5,11.9,23.1,26.5,17.7,9.6,3,1,0.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,96 - 99.5,42,93,263,563,958,879,590,286,113,35,5,3827,1.1,2.4,6.9,14.7,25.1,23,15.4,7.5,3,0.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,100 - 102,28,61,133,358,709,862,802,366,178,76,6,3579,0.8,1.7,3.7,10,19.8,24.1,22.4,10.2,5,2.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,102.5 - 104.5,13,44,102,253,573,808,976,571,323,151,6,3820,0.3,1.2,2.7,6.6,15,21.2,25.6,15,8.5,4
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,105 - 107,12,22,48,161,369,546,822,653,449,249,2,3333,0.4,0.7,1.4,4.8,11.1,16.4,24.7,19.6,13.5,7.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,107.5 - 109.5,8,13,22,69,183,346,580,574,463,321,1,2580,0.3,0.5,0.9,2.7,7.1,13.4,22.5,22.3,18,12.4
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,110 - 113,4,3,14,46,87,186,319,430,486,443,0,2018,0.2,0.1,0.7,2.3,4.3,9.2,15.8,21.3,24.1,22
