time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,subject,qualification_type,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_u,num_x,num_covid_impacted,all_grades,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_u,perc_x,perc_covid_impacted
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,96 - 99.5,German,GCSE,47,131,228,157,100,13,10,8,9,8,6,1,718,6.5,18.2,31.8,21.9,13.9,1.8,1.4,1.1,1.3,1.1,0.8,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,100 - 102,German,GCSE,45,99,277,225,203,56,17,15,8,11,2,0,958,4.7,10.3,28.9,23.5,21.2,5.8,1.8,1.6,0.8,1.1,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,102.5 - 104.5,German,GCSE,45,134,387,388,371,114,62,25,15,14,3,0,1558,2.9,8.6,24.8,24.9,23.8,7.3,4,1.6,1,0.9,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,105 - 107,German,GCSE,37,117,433,481,554,212,159,76,45,26,7,1,2148,1.7,5.4,20.2,22.4,25.8,9.9,7.4,3.5,2.1,1.2,0.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,107.5 - 109.5,German,GCSE,22,68,317,484,678,377,306,170,102,21,9,3,2557,0.9,2.7,12.4,18.9,26.5,14.7,12,6.6,4,0.8,0.4,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,110 - 113,German,GCSE,7,38,194,395,742,534,611,423,292,20,4,3,3263,0.2,1.2,5.9,12.1,22.7,16.4,18.7,13,8.9,0.6,0.1,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,113.5 - 116.5,German,GCSE,0,11,42,142,311,342,502,538,508,8,3,2,2409,0,0.5,1.7,5.9,12.9,14.2,20.8,22.3,21.1,0.3,0.1,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,117 - 120,German,GCSE,1,1,5,22,44,81,158,244,390,0,0,0,946,0.1,0.1,0.5,2.3,4.7,8.6,16.7,25.8,41.2,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Sex,Girls,No scaled score,German,GCSE,11,25,54,78,100,78,93,107,132,6,4,1,689,1.6,3.6,7.8,11.3,14.5,11.3,13.5,15.5,19.2,0.9,0.6,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Total,Total,Total,German,GCSE,764,1914,4701,5009,6375,3598,3626,2995,2854,292,71,11,32210,2.4,5.9,14.6,15.6,19.8,11.2,11.3,9.3,8.9,0.9,0.2,0
