time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,Entered_for_EBacc,Not_Entered,%_Entered_for_EBacc,%_Not_Entered,EBacc_9-4_Achieved,EBacc_9-4_Not_Achieved,%_EBacc_9-4_Achieved,%_EBacc_9-4_Not_Achieved,EBacc_9-5_Achieved,EBacc_9-5_Not_Achieved,%_EBacc_9-5_Achieved,%_EBacc_9-5_Not_Achieved,Basics_9-4_Achieved,Basics_9-4_Not_Achieved,%_Basics_9-4_Achieved,%_Basics_9-4_Not_Achieved,Basics_9-5_Achieved,Basics_9-5_Not_Achieved,%_Basics_9-5_Achieved,%_Basics_9-5_Not_Achieved
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,90 - 95.5,3043,20186,13.1,86.9,299,22930,1.3,98.7,101,23128,0.4,99.6,3534,19695,15.2,84.8,848,22381,3.7,96.3
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,96 - 99.5,5975,24610,19.5,80.5,1088,29497,3.6,96.4,384,30201,1.3,98.7,10312,20273,33.7,66.3,3398,27187,11.1,88.9
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,100 - 102,8037,22572,26.3,73.7,2184,28425,7.1,92.9,831,29778,2.7,97.3,15778,14831,51.5,48.5,6632,23977,21.7,78.3
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,102.5 - 104.5,13369,27005,33.1,66.9,5078,35296,12.6,87.4,2293,38081,5.7,94.3,26131,14243,64.7,35.3,13750,26624,34.1,65.9
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,105 - 107,17975,26596,40.3,59.7,8888,35683,19.9,80.1,4729,39842,10.6,89.4,34040,10531,76.4,23.6,22032,22539,49.4,50.6
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,107.5 - 109.5,19585,20873,48.4,51.6,12522,27936,31,69,8092,32366,20,80,35027,5431,86.6,13.4,27043,13415,66.8,33.2
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,110 - 113,22768,17782,56.1,43.9,17685,22865,43.6,56.4,13529,27021,33.4,66.6,37850,2700,93.3,6.7,33232,7318,82,18
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,113.5 - 116.5,13647,7506,64.5,35.5,12215,8938,57.7,42.3,10608,10545,50.1,49.9,20591,562,97.3,2.7,19565,1588,92.5,7.5
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,117 - 120,4283,1630,72.4,27.6,4064,1849,68.7,31.3,3813,2100,64.5,35.5,5849,64,98.9,1.1,5737,176,97,3
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Boys,No scaled score,7698,15036,33.9,66.1,4333,18401,19.1,80.9,3215,19519,14.1,85.9,11236,11498,49.4,50.6,7989,14745,35.1,64.9
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,Total,136720,170536,44.5,55.5,90359,216897,29.4,70.6,65427,241829,21.3,78.7,207821,99435,67.6,32.4,148380,158876,48.3,51.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,Less than 80,276,4018,6.4,93.6,65,4229,1.5,98.5,39,4255,0.9,99.1,167,4127,3.9,96.1,84,4210,2,98
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,80 - 89.5,1038,8047,11.4,88.6,50,9035,0.6,99.4,16,9069,0.2,99.8,361,8724,4,96,85,9000,0.9,99.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,90 - 95.5,3404,15199,18.3,81.7,358,18245,1.9,98.1,128,18475,0.7,99.3,2526,16077,13.6,86.4,658,17945,3.5,96.5
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,96 - 99.5,6989,20113,25.8,74.2,1490,25612,5.5,94.5,497,26605,1.8,98.2,9004,18098,33.2,66.8,2879,24223,10.6,89.4
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,100 - 102,9607,19537,33,67,3270,25874,11.2,88.8,1326,27818,4.5,95.5,14969,14175,51.4,48.6,6246,22898,21.4,78.6
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,102.5 - 104.5,15768,23914,39.7,60.3,7399,32283,18.6,81.4,3439,36243,8.7,91.3,26381,13301,66.5,33.5,13856,25826,34.9,65.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,105 - 107,20986,23350,47.3,52.7,12691,31645,28.6,71.4,7306,37030,16.5,83.5,35091,9245,79.1,20.9,22758,21578,51.3,48.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,107.5 - 109.5,21883,18786,53.8,46.2,16234,24435,39.9,60.1,11148,29521,27.4,72.6,35964,4705,88.4,11.6,27694,12975,68.1,31.9
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,110 - 113,26585,16941,61.1,38.9,22848,20678,52.5,47.5,18360,25166,42.2,57.8,41113,2413,94.5,5.5,36131,7395,83,17
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,113.5 - 116.5,16523,7471,68.9,31.1,15568,8426,64.9,35.1,14186,9808,59.1,40.9,23543,451,98.1,1.9,22558,1436,94,6
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,117 - 120,5212,1643,76,24,5118,1737,74.7,25.3,4937,1918,72,28,6802,53,99.2,0.8,6734,121,98.2,1.8
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Sex,Girls,No scaled score,8449,11517,42.3,57.7,5268,14698,26.4,73.6,4045,15921,20.3,79.7,11900,8066,59.6,40.4,8697,11269,43.6,56.4
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,Total,254343,374864,40.4,59.6,158820,470387,25.2,74.8,113065,516142,18,82,408920,220287,65,35,288805,340402,45.9,54.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,Less than 80,554,12684,4.2,95.8,124,13114,0.9,99.1,70,13168,0.5,99.5,395,12843,3,97,164,13074,1.2,98.8
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,80 - 89.5,2003,19913,9.1,90.9,96,21820,0.4,99.6,28,21888,0.1,99.9,884,21032,4,96,204,21712,0.9,99.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,90 - 95.5,6447,35385,15.4,84.6,657,41175,1.6,98.4,229,41603,0.5,99.5,6060,35772,14.5,85.5,1506,40326,3.6,96.4
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,96 - 99.5,12964,44723,22.5,77.5,2578,55109,4.5,95.5,881,56806,1.5,98.5,19316,38371,33.5,66.5,6277,51410,10.9,89.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,100 - 102,17644,42109,29.5,70.5,5454,54299,9.1,90.9,2157,57596,3.6,96.4,30747,29006,51.5,48.5,12878,46875,21.6,78.4
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,102.5 - 104.5,29137,50919,36.4,63.6,12477,67579,15.6,84.4,5732,74324,7.2,92.8,52512,27544,65.6,34.4,27606,52450,34.5,65.5
202324,Academic year,National,E92000001,England,Provisional,All state-funded,Total,Total,105 - 107,38961,49946,43.8,56.2,21579,67328,24.3,75.7,12035,76872,13.5,86.5,69131,19776,77.8,22.2,44790,44117,50.4,49.6
