"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","Statistics","107.5 - 109.5",8,16,22,80,244,405,271,219,148,47,12,766,2238,0.7,1,3.6,10.9,18.1,12.1,9.8,6.6,2.1,0.4,0.5,34.2
202122,"Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","Statistics","110 - 113",9,4,17,35,145,321,351,323,280,145,4,905,2539,0.2,0.7,1.4,5.7,12.6,13.8,12.7,11,5.7,0.4,0.2,35.6
202122,"Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","Statistics","113.5 - 116.5",2,2,1,11,26,99,141,242,238,214,8,679,1663,0.1,0.1,0.7,1.6,6,8.5,14.6,14.3,12.9,0.1,0.5,40.8
202122,"Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","Statistics","117 - 120",0,0,0,0,4,19,40,61,87,161,0,247,619,0,0,0,0.6,3.1,6.5,9.9,14.1,26,0,0,39.9
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","Less than 80",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","80 - 89.5",3,1,3,2,0,0,0,0,0,0,1,0,10,10,30,20,0,0,0,0,0,0,30,10,0
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","90 - 95.5",1,1,2,5,4,2,1,0,0,0,1,0,17,5.9,11.8,29.4,23.5,11.8,5.9,0,0,0,5.9,5.9,0
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","96 - 99.5",4,1,4,1,4,6,1,2,1,0,0,0,24,4.2,16.7,4.2,16.7,25,4.2,8.3,4.2,0,16.7,0,0
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","100 - 102",2,3,3,6,4,6,6,2,3,0,0,1,36,8.3,8.3,16.7,11.1,16.7,16.7,5.6,8.3,0,5.6,0,2.8
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","102.5 - 104.5",2,4,4,8,5,6,5,6,1,0,1,0,42,9.5,9.5,19,11.9,14.3,11.9,14.3,2.4,0,4.8,2.4,0
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","105 - 107",4,2,2,4,10,11,7,6,4,3,1,0,54,3.7,3.7,7.4,18.5,20.4,13,11.1,7.4,5.6,7.4,1.9,0
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","107.5 - 109.5",0,0,2,3,9,12,16,20,12,6,0,2,82,0,2.4,3.7,11,14.6,19.5,24.4,14.6,7.3,0,0,2.4
